A1BG	NM_130786
A1CF	NM_001198818
A1CF	NM_001198819
A1CF	NM_001198820
A1CF	NM_014576
A1CF	NM_138932
A1CF	NM_138933
A2M	NM_000014
A2M	NM_001347423
A2M	NM_001347424
A2M	NM_001347425
A2ML1	NM_001282424
A2ML1	NM_144670
A3GALT2	NM_001080438
A4GALT	NM_001318038
A4GALT	NM_017436
A4GNT	NM_016161
AAAS	NM_001173466
AAAS	NM_015665
AACS	NM_001319839
AACS	NM_001319840
AACS	NM_023928
AADAC	NM_001086
AADACL2	NM_207365
AADACL2	NM_207365_2
AADACL3	NM_001103170
AADACL4	NM_001013630
AADAT	NM_001286682
AADAT	NM_001286683
AADAT	NM_016228
AADAT	NM_182662
AAGAB	NM_001271885
AAGAB	NM_001271886
AAGAB	NM_024666
AAK1	NM_014911
AAMDC	NM_001316957
AAMDC	NM_001316958
AAMDC	NM_001316960
AAMDC	NM_001316961
AAMDC	NM_001316962
AAMDC	NM_001363564
AAMDC	NM_024684
AAMP	NM_001087
AAMP	NM_001302545
AANAT	NM_001088
AANAT	NM_001166579
AAR2	NM_001271874
AAR2	NM_015511
AARD	NM_001025357
AARS	NM_001605
AARS2	NM_020745
AARSD1	NM_001261434
AASDH	NM_001286668
AASDH	NM_001286669
AASDH	NM_001286670
AASDH	NM_001286671
AASDH	NM_001286672
AASDH	NM_001323890
AASDH	NM_001323892
AASDH	NM_001323893
AASDH	NM_001323899
AASDH	NM_181806
AASDHPPT	NM_015423
AASS	NM_005763
AATF	NM_012138
AATF	NM_012138_2
AATK	NM_001080395
AATK	NM_004920
ABAT	NM_000663
ABAT	NM_001127448
ABAT	NM_020686
ABCA1	NM_005502
ABCA10	NM_080282
ABCA12	NM_015657
ABCA12	NM_173076
ABCA13	NM_152701
ABCA2	NM_001606
ABCA2	NM_212533
ABCA3	NM_001089
ABCA4	NM_000350
ABCA5	NM_018672
ABCA5	NM_172232
ABCA6	NM_080284
ABCA7	NM_019112
ABCA8	NM_001288985
ABCA8	NM_001288986
ABCA8	NM_007168
ABCA9	NM_080283
ABCB1	NM_000927
ABCB1	NM_001348944
ABCB1	NM_001348945
ABCB1	NM_001348946
ABCB10	NM_012089
ABCB11	NM_003742
ABCB11	NM_003742_2
ABCB4	NM_000443
ABCB4	NM_018849
ABCB4	NM_018850
ABCB5	NM_001163941
ABCB5	NM_001163942
ABCB5	NM_001163993
ABCB5	NM_178559
ABCB6	NM_001349828
ABCB6	NM_005689
ABCB7	NM_001271696
ABCB7	NM_001271697
ABCB7	NM_001271698
ABCB7	NM_001271699
ABCB7	NM_004299
ABCB8	NM_001282291
ABCB8	NM_001282292
ABCB8	NM_001282293
ABCB8	NM_007188
ABCB9	NM_001243013
ABCB9	NM_001243014
ABCB9	NM_019624
ABCB9	NM_019625
ABCB9	NM_203444
ABCC1	NM_004996
ABCC1	NM_004996_2
ABCC10	NM_001198934
ABCC10	NM_001350518
ABCC10	NM_033450
ABCC11	NM_032583
ABCC11	NM_033151
