chrom	start	end	gene_polyA	feature	strand
1	943808	943907	NM_152486.2_944581	last_intron	+
1	944800	945056	NM_015658.3_944203	last_intron	-
1	964530	964962	NM_198317.2_965719	last_intron	+
1	974364	974441	NM_001160184.1_975108	last_intron	+
1	976269	976498	NM_001291366.1_975199	last_intron	-
1	999432	999525	NM_001142467.1_998964	last_intron	-
1	999432	999525	NM_021170.3_998962	last_intron	-
1	1013576	1013983	NM_005101.3_1014540	last_intron	+
1	1054551	1054823	NM_001305275.1_1056119	last_intron	+
1	1072575	1074015	NM_001205252.1_1071746	last_intron	-
1	1082987	1084352	NM_017891.4_1081818	last_intron	-
1	1184091	1184968	NM_153254.2_1185864	last_intron	+
1	1197186	1197437	NM_001130045.1_1197933	last_intron	+
1	1203960	1204398	NM_148901.1_1203508	last_intron	-
1	1203968	1204033	NM_004195.2_1203508	last_intron	-
1	1203968	1204054	NM_148902.1_1203508	last_intron	-
1	1211625	1211703	NM_003327.3_1211326	last_intron	-
1	1217688	1218457	NM_016176.3_1216908	last_intron	-
1	1217804	1218457	NM_016547.2_1216908	last_intron	-
1	1242646	1242834	NM_001014980.2_1242446	last_intron	-
1	1255487	1256044	NM_058167.2_1253912	last_intron	-
1	1291140	1291253	NM_001130413.3_1292029	last_intron	+
1	1293708	1293822	NM_030649.2_1292384	last_intron	-
1	1311071	1311329	NM_153339.1_1311677	last_intron	+
1	1311924	1312017	NM_001256456.1_1311585	last_intron	-
1	1327032	1327240	NM_001029885.1_1328896	last_intron	+
1	1333379	1333505	NM_152228.2_1335320	last_intron	+
1	1336515	1337976	NM_004421.2_1335278	last_intron	-
1	1353332	1353847	NM_001282585.1_1352689	last_intron	-
1	1353629	1353847	NM_001282582.1_1352689	last_intron	-
1	1373902	1373999	NM_001127229.1_1373730	last_intron	-
1	1373902	1373999	NM_001127230.1_1373731	last_intron	-
1	1387582	1387776	NM_001320153.1_1385711	last_intron	-
1	1392803	1393395	NM_001039577.3_1392288	last_intron	-
1	1402256	1405808	NM_017971.3_1401896	last_intron	-
1	1402601	1405808	NM_001318485.1_1401909	last_intron	-
1	1419549	1420051	NM_001145210.2_1418420	last_intron	-
1	1419549	1420796	NM_001243535.1_1418420	last_intron	-
1	1419549	1420815	NM_001243536.1_1418420	last_intron	-
1	1426385	1427553	NM_001146685.1_1427787	last_intron	+
1	1437484	1439080	NM_022834.4_1442882	last_intron	+
1	1462708	1468383	NM_001039211.2_1470158	last_intron	+
1	1490671	1495484	NM_001317238.1_1496204	last_intron	+
1	1529331	1533925	NM_001170535.1_1534687	last_intron	+
1	1535507	1535588	NM_001114748.1_1534778	last_intron	-
1	1542167	1543868	NM_014188.2_1541673	last_intron	-
1	1629704	1630291	NM_001170686.1_1630610	last_intron	+
1	1634328	1634450	NM_006983.1_1634654	last_intron	+
1	1635856	1635936	NM_001291345.1_1635226	last_intron	-
1	1666019	1668326	NM_001110781.2_1661478	last_intron	-
1	1702999	1703079	NM_001313896.1_1702383	last_intron	-
1	1725422	1734689	NM_001199787.1_1724838	last_intron	-
1	1732523	1734689	NM_182838.2_1727385	last_intron	-
1	1753060	1753566	NM_001198993.1_1751232	last_intron	-
1	1787053	1787321	NM_001282538.1_1785285	last_intron	-
1	1917074	1917146	NM_138705.2_1917294	last_intron	+
1	1918162	1918252	NM_178545.3_1917590	last_intron	-
1	1922388	1922588	NM_001304360.1_1921951	last_intron	-
1	2029762	2029982	NM_000815.4_2030753	last_intron	+
1	2184698	2184921	NM_001033581.1_2185395	last_intron	+
1	2185513	2186003	NM_001282671.1_2184460	last_intron	-
1	2185513	2193638	NM_001146310.1_2184460	last_intron	-
1	2189781	2193638	NM_001256947.1_2189548	last_intron	-
1	2192975	2193638	NM_001256946.1_2191895	last_intron	-
1	2306250	2306576	NM_003036.3_2310213	last_intron	+
1	2321579	2324096	NM_024848.2_2321253	last_intron	-
1	2355464	2357431	NM_001301060.1_2355175	last_intron	-
1	2402342	2403034	NM_007033.4_2405444	last_intron	+
1	2405834	2406483	NM_002617.3_2404802	last_intron	-
1	2502409	2503921	NM_014638.3_2505530	last_intron	+
1	2502409	2503944	NM_001303013.1_2505530	last_intron	+
1	2502910	2503616	NM_001303012.1_2505530	last_intron	+
1	2509060	2509861	NM_018216.2_2508531	last_intron	-
1	2529749	2529845	NM_001010926.3_2528745	last_intron	-
1	2562896	2563147	NM_001297605.1_2565622	last_intron	+
1	2589040	2589409	NM_001195736.1_2591469	last_intron	+
1	2591089	2591556	NM_033467.3_2590642	last_intron	-
1	2641895	2644263	NM_001242672.1_2641368	last_intron	-
1	3432140	3433676	NM_022114.3_3438621	last_intron	+
1	3432140	3433733	NM_199454.2_3438621	last_intron	+
1	3479913	3480447	NM_014448.3_3481113	last_intron	+
1	3490589	3490911	NM_001409.3_3487942	last_intron	-
1	3627653	3628408	NM_182752.3_3630131	last_intron	+
1	3631117	3631465	NM_017818.3_3630767	last_intron	-
1	3729448	3732746	NM_001204186.1_3736201	last_intron	+
1	3731065	3732746	NM_001126241.2_3736201	last_intron	+
1	3731556	3732746	NM_001126240.2_3736201	last_intron	+
1	3769887	3771400	NM_152492.2_3771645	last_intron	+
1	3775483	3775794	NM_001163724.2_3775982	last_intron	+
1	3781336	3781511	NM_020710.2_3780220	last_intron	-
1	3815517	3816279	NM_014704.3_3812081	last_intron	-
1	3872572	3883506	NM_001282669.1_3885429	last_intron	+
1	3890073	3890568	NM_207356.2_3889133	last_intron	-
1	4774558	4777400	NM_001042478.1_4777794	last_intron	+
1	4774558	4782544	NM_018836.3_4783791	last_intron	+
1	5863405	5863889	NM_001291593.1_5862808	last_intron	-
1	6097357	6098484	NM_001199860.1_6101193	last_intron	+
1	6105427	6106233	NM_015557.2_6101787	last_intron	-
1	6186816	6192929	NM_000983.3_6185020	last_intron	-
1	6218369	6219235	NM_207396.2_6221299	last_intron	+
1	6225262	6231901	NM_012405.3_6221193	last_intron	-
1	6244629	6245109	NM_001024598.3_6245578	last_intron	+
1	6250003	6250439	NM_207370.2_6247346	last_intron	-
1	6264695	6281101	NM_007274.3_6264272	last_intron	-
1	6419153	6419240	NM_019089.4_6415232	last_intron	-
1	6457372	6459998	NM_031475.2_6460944	last_intron	+
1	6461762	6461993	NM_003790.2_6461151	last_intron	-
1	6464453	6464551	NM_001039664.1_6464111	last_intron	-
1	6467572	6467824	NM_001042663.1_6466092	last_intron	-
1	6526003	6526695	NM_024654.4_6521347	last_intron	-
1	6577070	6578652	NM_138697.3_6579757	last_intron	+
1	6588844	6588915	NM_001278647.1_6589280	last_intron	+
1	6593658	6595484	NM_014851.3_6590724	last_intron	-
1	6594110	6595484	NM_001324309.1_6590724	last_intron	-
1	6620337	6621410	NM_153812.2_6624033	last_intron	+
1	6632495	6632795	NM_001195752.1_6633582	last_intron	+
1	6632495	6634019	NM_138350.3_6635586	last_intron	+
1	6635700	6636116	NM_018198.3_6634168	last_intron	-
1	6825210	6871756	NM_001195563.1_6872049	last_intron	+
1	6825210	6887653	NM_001242701.1_6888201	last_intron	+
1	7755668	7766458	NM_015215.3_7769706	last_intron	+
1	7778169	7779625	NM_004781.3_7781432	last_intron	+
1	7837149	7842671	NM_001289861.1_7845181	last_intron	+
1	7847882	7849639	NM_006786.3_7847612	last_intron	-
1	7920923	7933161	NM_001561.5_7915871	last_intron	-
1	7977738	7984893	NM_001123377.1_7985282	last_intron	+
1	8014396	8015307	NM_018948.3_8011719	last_intron	-
1	8339698	8343746	NM_001080397.2_8344167	last_intron	+
1	8355120	8355418	NM_001042681.1_8352404	last_intron	-
1	8861429	8862886	NM_001201483.1_8861000	last_intron	-
1	8970981	8974346	NM_001270500.1_8974444	last_intron	+
1	8970981	8974621	NM_001215.3_8975092	last_intron	+
1	9003518	9004751	NM_207420.2_9003300	last_intron	-
1	9037789	9037896	NM_003039.2_9036946	last_intron	-
1	9041937	9047609	NM_001135585.1_9041368	last_intron	-
1	9104634	9105485	NM_024980.4_9104417	last_intron	-
1	9262328	9263508	NM_001282587.1_9271337	last_intron	+
1	9356585	9367447	NM_025106.3_9369532	last_intron	+
1	9580234	9582298	NM_032315.2_9582773	last_intron	+
1	9601454	9602068	NM_001010866.3_9604962	last_intron	+
1	9611890	9612985	NM_001130924.2_9614877	last_intron	+
1	9724936	9726908	NM_005026.3_9729114	last_intron	+
1	9730705	9731205	NM_001009566.2_9729021	last_intron	-
1	9850776	9871186	NM_001012329.1_9848276	last_intron	-
1	9922358	9931890	NM_001316975.1_9922113	last_intron	-
1	9930457	9931890	NM_001316973.1_9926298	last_intron	-
1	9930457	9934761	NM_001316976.1_9926298	last_intron	-
1	9981170	9981255	NM_001297779.1_9981766	last_intron	+
1	9981170	9982300	NM_001297778.1_9985498	last_intron	+
1	10008274	10015781	NM_052960.2_10016020	last_intron	+
1	10179562	10179894	NM_001105562.2_10181239	last_intron	+
1	10297246	10303162	NM_183416.3_10308597	last_intron	+
1	10375373	10376544	NM_015074.3_10381603	last_intron	+
1	10419539	10419629	NM_001304451.1_10420511	last_intron	+
1	10434690	10451376	NM_199006.2_10452003	last_intron	+
1	10440413	10442264	NM_199294.2_10442815	last_intron	+
1	10440413	10451376	NM_001243768.1_10452003	last_intron	+
1	10442441	10451376	NM_001270517.1_10452003	last_intron	+
1	10450322	10451376	NM_001302.4_10452003	last_intron	+
1	10461702	10463057	NM_004401.2_10460531	last_intron	-
1	10463209	10463430	NM_213566.1_10460531	last_intron	-
1	10627363	10629530	NM_004565.2_10630758	last_intron	+
1	10640059	10642858	NM_001079843.2_10636604	last_intron	-
1	10648139	10649069	NM_017766.4_10647206	last_intron	-
1	10946741	10947642	NM_001170754.1_10946473	last_intron	-
1	11020599	11022123	NM_007375.3_11025492	last_intron	+
1	11027648	11030175	NM_006610.3_11026523	last_intron	-
