chrom	start	end	gene_polyA	feature	strand
2L	8116	8192	NM_001169365_9484	last_intron	+
2L	8116	8228	NM_001272857_9484	last_intron	+
2L	8589	8667	NM_175941_9484	last_intron	+
2L	11344	11409	NM_001258872_9839	last_intron	-
2L	11344	11778	NM_001272858_9839	last_intron	-
2L	22687	22742	NM_001103573_21823	last_intron	-
2L	26688	26765	NM_001103574_25402	last_intron	-
2L	70549	70606	NM_001258880_71081	last_intron	+
2L	70549	70606	NM_001258881_71390	last_intron	+
2L	75018	75077	NM_001169366_76211	last_intron	+
2L	77583	77641	NM_134644_77783	last_intron	+
2L	84277	87019	NM_001272860_82984	last_intron	-
2L	84277	87019	NM_080081_82421	last_intron	-
2L	101619	101875	NM_134645_102086	last_intron	+
2L	103434	103515	NM_134646_104142	last_intron	+
2L	103434	103877	NM_001272861_104142	last_intron	+
2L	104947	105004	NM_134647_103962	last_intron	-
2L	110483	110754	NM_001258885_111337	last_intron	+
2L	113369	113433	NM_001272862_114432	last_intron	+
2L	113369	113433	NM_164359_114210	last_intron	+
2L	117759	117819	NM_001038772_116970	last_intron	-
2L	117759	117819	NM_001038773_117079	last_intron	-
2L	117759	117819	NM_001038775_117174	last_intron	-
2L	122994	123080	NM_134650_122624	last_intron	-
2L	123629	123693	NM_001038776_122624	last_intron	-
2L	132255	132475	NM_001169368_133995	last_intron	+
2L	132255	132475	NM_057222_134472	last_intron	+
2L	138590	138668	NM_001298613_138384	last_intron	-
2L	139687	139740	NM_001169369_139446	last_intron	-
2L	141340	141395	NM_001272870_141077	last_intron	-
2L	145910	147348	NM_134654_144231	last_intron	-
2L	145910	147354	NM_001272872_144231	last_intron	-
2L	155059	155127	NM_134656_153539	last_intron	-
2L	155784	155857	NM_001169370_156030	last_intron	+
2L	156552	156735	NM_001298614_157666	last_intron	+
2L	158375	158435	NM_001032044_157836	last_intron	-
2L	201061	201126	NM_001258887_201588	last_intron	+
2L	201061	201126	NM_001272873_203250	last_intron	+
2L	201061	201126	NM_079979_203397	last_intron	+
2L	203891	203992	NM_078716_204782	last_intron	+
2L	205212	205271	NM_001258888_204743	last_intron	-
2L	208608	208728	NM_001272877_210506	last_intron	+
2L	208608	208728	NM_001272878_210725	last_intron	+
2L	214942	215033	NM_001144289_210735	last_intron	-
2L	233154	233216	NM_134661_234208	last_intron	+
2L	251464	251526	NM_001272879_251039	last_intron	-
2L	251464	251526	NM_080010_251163	last_intron	-
2L	253145	253219	NM_001272880_252589	last_intron	-
2L	270606	270660	NM_134665_271626	last_intron	+
2L	272506	272554	NM_134667_271912	last_intron	-
2L	275251	275318	NM_001272881_274740	last_intron	-
2L	280040	280109	NM_078719_282167	last_intron	+
2L	282505	282653	NM_001298616_281971	last_intron	-
2L	282505	282653	NM_001298617_281670	last_intron	-
2L	284210	284747	NM_001103576_283385	last_intron	-
2L	284210	284747	NM_164378_283662	last_intron	-
2L	292660	292716	NM_134672_293222	last_intron	+
2L	294372	294440	NM_001272885_292959	last_intron	-
2L	294372	294440	NM_057860_293353	last_intron	-
2L	296811	296976	NM_058006_297449	last_intron	+
2L	299918	302025	NM_001272888_305233	last_intron	+
2L	299918	302025	NM_057922_303934	last_intron	+
2L	301944	302025	NM_001272887_305233	last_intron	+
2L	326061	328592	NM_164379_325522	last_intron	-
2L	345153	345214	NM_001272889_346255	last_intron	+
2L	345153	345214	NM_057503_346541	last_intron	+
2L	345153	345214	NM_205883_347927	last_intron	+
2L	347937	355384	NM_205884_355566	last_intron	+
2L	356312	356366	NM_001272891_355565	last_intron	-
2L	386576	386702	NM_164382_387439	last_intron	+
2L	398866	399847	NM_001272892_396595	last_intron	-
2L	406035	406094	NM_057360_407969	last_intron	+
2L	409465	409531	NM_057471_408030	last_intron	-
2L	409465	409531	NM_205885_408876	last_intron	-
2L	416710	416788	NM_057981_418536	last_intron	+
2L	420146	420291	NM_001272893_420864	last_intron	+
2L	420146	420291	NM_057282_420697	last_intron	+
2L	422188	422242	NM_134679_422489	last_intron	+
2L	425012	425072	NM_134680_425321	last_intron	+
2L	446583	446641	NM_001272894_448701	last_intron	+
2L	449170	449229	NM_001258894_448716	last_intron	-
2L	449170	449229	NM_001272896_448254	last_intron	-
2L	454270	454329	NM_134681_454654	last_intron	+
2L	457562	457614	NM_001272898_458745	last_intron	+
2L	457562	457627	NM_001272897_458745	last_intron	+
2L	464941	471397	NM_134683_458876	last_intron	-
2L	476015	476077	NM_134684_476170	last_intron	+
2L	478204	479086	NM_001272903_476446	last_intron	-
2L	478204	479406	NM_164384_476446	last_intron	-
2L	539452	539517	NM_001272899_540532	last_intron	+
2L	539452	539517	NM_001272900_540560	last_intron	+
2L	541168	541708	NM_001272904_540599	last_intron	-
2L	542346	542429	NM_001272905_541393	last_intron	-
2L	542350	542429	NM_057630_541393	last_intron	-
2L	542379	542429	NM_164385_541237	last_intron	-
2L	543349	543415	NM_078720_542786	last_intron	-
2L	546443	546564	NM_080359_547096	last_intron	+
2L	546479	546532	NM_001298618_544925	last_intron	-
2L	547900	547977	NM_001103577_547016	last_intron	-
2L	554274	554335	NM_134686_553742	last_intron	-
2L	560037	560096	NM_134687_560523	last_intron	+
2L	563189	563253	NM_134688_560568	last_intron	-
2L	563189	563258	NM_001298620_560568	last_intron	-
2L	563189	563276	NM_001272906_560568	last_intron	-
2L	566438	566497	NM_057946_566366	last_intron	-
2L	569290	569347	NM_001272908_572907	last_intron	+
2L	569290	569347	NM_134690_572716	last_intron	+
2L	575090	575143	NM_001272909_575734	last_intron	+
2L	576022	576080	NM_001298621_575711	last_intron	-
2L	578420	578483	NM_057982_579549	last_intron	+
2L	584445	587829	NM_001316376_583541	last_intron	-
2L	584445	592271	NM_001144290_583544	last_intron	-
2L	602949	603073	NM_001272910_604430	last_intron	+
2L	603006	603073	NM_134694_603562	last_intron	+
2L	644314	644436	NM_001298622_640306	last_intron	-
2L	644314	644436	NM_078722_640013	last_intron	-
2L	738268	738320	NM_001169373_737212	last_intron	-
2L	757030	757127	NM_001169375_757520	last_intron	+
2L	759549	759678	NM_001258897_762142	last_intron	+
2L	759549	759678	NM_001298625_762399	last_intron	+
2L	782441	782494	NM_001272912_782885	last_intron	+
2L	786422	786478	NM_057865_786153	last_intron	-
2L	786427	786509	NM_001272913_788776	last_intron	+
2L	811203	811258	NM_164388_811531	last_intron	+
2L	812496	812561	NM_134700_813380	last_intron	+
2L	813893	813950	NM_001272914_813314	last_intron	-
2L	817182	817243	NM_134703_816994	last_intron	-
2L	818643	818703	NM_134704_818079	last_intron	-
2L	823569	823636	NM_001038778_824337	last_intron	+
2L	824137	824190	NM_001258898_824337	last_intron	+
2L	824137	824218	NM_001169376_824337	last_intron	+
2L	831626	831713	NM_001272916_832331	last_intron	+
2L	831626	831713	NM_057628_833241	last_intron	+
2L	834583	834973	NM_001169377_833584	last_intron	-
2L	834583	834973	NM_164392_833587	last_intron	-
2L	835290	835352	NM_001144291_834867	last_intron	-
2L	851659	851717	NM_001272917_851251	last_intron	-
2L	851659	851717	NM_134707_851316	last_intron	-
2L	853278	853544	NM_001272918_854539	last_intron	+
2L	855810	855867	NM_001272919_856236	last_intron	+
2L	855810	855867	NM_001272920_856639	last_intron	+
2L	861357	861428	NM_001347748_861806	last_intron	+
2L	862258	862318	NM_078725_861849	last_intron	-
2L	872080	872207	NM_001014454_874149	last_intron	+
2L	873539	875037	NM_001014453_877038	last_intron	+
2L	877871	877969	NM_057308_878270	last_intron	+
2L	878334	878391	NM_001298626_877172	last_intron	-
2L	878334	878391	NM_134711_878181	last_intron	-
2L	898941	899009	NM_001298627_901316	last_intron	+
2L	917387	917466	NM_134713_917805	last_intron	+
2L	957209	957278	NM_001103578_958098	last_intron	+
2L	1014484	1014549	NM_001272922_1011421	last_intron	-
2L	1014484	1014549	NM_164401_1008378	last_intron	-
2L	1038506	1038578	NM_134717_1038685	last_intron	+
2L	1052265	1052330	NM_078726_1049674	last_intron	-
2L	1052265	1052330	NM_164403_1051792	last_intron	-
2L	1079065	1079120	NM_078727_1080803	last_intron	+
2L	1082665	1082788	NM_134719_1083378	last_intron	+
2L	1082665	1082791	NM_001272923_1085380	last_intron	+
2L	1084836	1084893	NM_134720_1083248	last_intron	-
2L	1084836	1084893	NM_164404_1083091	last_intron	-
2L	1103820	1103878	NM_001272924_1103254	last_intron	-
2L	1103820	1103878	NM_134721_1103483	last_intron	-
2L	1112444	1112505	NM_134722_1112694	last_intron	+
2L	1113765	1113825	NM_134723_1114138	last_intron	+
2L	1115943	1116440	NM_001272925_1114654	last_intron	-
2L	1131181	1131263	NM_134725_1132411	last_intron	+
2L	1139763	1139828	NM_001272926_1141156	last_intron	+
2L	1139763	1139831	NM_134727_1140988	last_intron	+
2L	1146825	1146892	NM_134728_1147395	last_intron	+
2L	1149586	1149650	NM_134730_1149445	last_intron	-
2L	1152115	1152176	NM_001038780_1151678	last_intron	-
2L	1159467	1159755	NM_001272928_1160220	last_intron	+
2L	1161219	1161289	NM_001272929_1160290	last_intron	-
2L	1165080	1165138	NM_134735_1166425	last_intron	+
2L	1166922	1166982	NM_134736_1167211	last_intron	+
